DATE,ID,SNOW
2025-02-01,US1NHBK0001,79.0
2025-02-02,US1NHBK0001,0.0
2025-02-03,US1NHBK0001,41.0
2025-02-05,US1NHBK0001,0.0
2025-02-06,US1NHBK0001,0.0
2025-02-07,US1NHBK0001,107.0
2025-02-08,US1NHBK0001,0.0
2025-02-09,US1NHBK0001,216.0
2025-02-10,US1NHBK0001,0.0
2025-02-11,US1NHBK0001,0.0
2025-02-12,US1NHBK0001,0.0
2025-02-13,US1NHBK0001,20.0
2025-02-14,US1NHBK0001,23.0
2025-02-15,US1NHBK0001,0.0
2025-02-16,US1NHBK0001,84.0
2025-02-17,US1NHBK0001,89.0
2025-02-18,US1NHBK0001,0.0
2025-02-19,US1NHBK0001,0.0
2025-02-20,US1NHBK0001,0.0
2025-02-21,US1NHBK0001,0.0
2025-02-22,US1NHBK0001,0.0
2025-02-23,US1NHBK0001,0.0
2025-02-24,US1NHBK0001,0.0
2025-02-25,US1NHBK0001,0.0
2025-02-27,US1NHBK0001,0.0
2025-02-28,US1NHBK0001,71.0
2025-03-01,US1NHBK0001,30.0
2025-03-02,US1NHBK0001,0.0
2025-03-03,US1NHBK0001,0.0
2025-03-04,US1NHBK0001,0.0
2025-03-05,US1NHBK0001,0.0
2025-03-07,US1NHBK0001,0.0
2025-03-08,US1NHBK0001,0.0
2025-03-09,US1NHBK0001,0.0
2025-03-10,US1NHBK0001,0.0
2025-03-11,US1NHBK0001,0.0
2025-03-12,US1NHBK0001,0.0
2025-03-13,US1NHBK0001,0.0
2025-03-14,US1NHBK0001,0.0
2025-03-15,US1NHBK0001,0.0
2025-03-16,US1NHBK0001,0.0
2025-03-19,US1NHBK0001,0.0
2025-03-20,US1NHBK0001,0.0
2025-03-22,US1NHBK0001,0.0
2025-03-24,US1NHBK0001,0.0
2025-03-25,US1NHBK0001,91.0
2025-02-01,US1NHBK0002,76.0
2025-02-02,US1NHBK0002,0.0
2025-02-03,US1NHBK0002,46.0
2025-02-04,US1NHBK0002,0.0
2025-02-05,US1NHBK0002,0.0
2025-02-06,US1NHBK0002,0.0
2025-02-07,US1NHBK0002,104.0
2025-02-08,US1NHBK0002,0.0
2025-02-09,US1NHBK0002,226.0
2025-02-10,US1NHBK0002,3.0
2025-02-11,US1NHBK0002,0.0
2025-02-12,US1NHBK0002,0.0
2025-02-13,US1NHBK0002,20.0
2025-02-14,US1NHBK0002,13.0
2025-02-15,US1NHBK0002,0.0
2025-02-16,US1NHBK0002,91.0
2025-02-17,US1NHBK0002,99.0
2025-02-18,US1NHBK0002,0.0
2025-02-19,US1NHBK0002,0.0
2025-02-20,US1NHBK0002,0.0
2025-02-22,US1NHBK0002,0.0
